# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
3.099185,2.157744,-0.000000,-0.000000,0.627237,-0.634360,0.273152,-0.055354,0.004332,4.628129,-0.000000,-0.000000,0.601490,-0.608763,0.258791,-0.051468,0.003938,-1.806022,-0.000000,0.000000,-0.388853,0.419099,-0.191042,0.040804,-0.003352,-0.000870,0.000000,-0.000000,-0.000130,0.000142,-0.000044,0.000005,-0.000000
3.099185,3.252492,0.451449,-0.003904,0.032908,-0.025807,0.011840,-0.002875,0.000280,5.571969,0.352658,-0.033932,-0.015030,0.069660,-0.050179,0.014143,-0.001411,-2.387946,-0.218501,0.007945,-0.073619,0.090578,-0.047604,0.011465,-0.001041,-0.000419,0.000212,-0.000225,-0.000083,0.000058,0.000004,-0.000006,0.000001
3.099185,4.820958,0.572094,0.045042,0.044310,-0.111584,0.077290,-0.022055,0.002261,6.628098,0.366753,0.002512,-0.107538,0.140543,-0.072757,0.016914,-0.001468,-3.133238,-0.250420,-0.009427,-0.057330,0.091383,-0.054425,0.014282,-0.001386,-0.000938,-0.000094,-0.000011,-0.000046,0.000083,-0.000039,0.000008,-0.000001
3.099185,6.816059,0.683260,0.089510,0.255157,-0.529214,0.352109,-0.098772,0.010022,7.706570,0.365635,0.034388,-0.024685,-0.042002,0.049391,-0.017256,0.001980,-3.986812,-0.278865,-0.032908,-0.123238,0.242114,-0.157881,0.043760,-0.004403,-0.000856,0.000208,0.000037,-0.000011,-0.000003,-0.000008,0.000002,-0.000000
3.099185,9.239167,0.716256,0.267761,1.070414,-2.155718,1.415299,-0.391498,0.039052,8.830037,0.330766,0.098543,0.319979,-0.706313,0.478537,-0.134708,0.013590,-4.954213,-0.269577,-0.100444,-0.449055,0.877544,-0.568730,0.156050,-0.015480,-0.000926,-0.000464,0.000125,0.000342,0.000393,-0.000572,0.000202,-0.000023
